fraction,n,repeat,class,auc
0.2,198,5,手术,0.8991117814647226
0.2,198,5,宏平均,0.7484723382921165
0.2,198,6,观察,0.7274091472564755
0.2,198,6,内镜,0.728966346153846
0.2,198,6,手术,0.9044746103569633
0.2,198,6,宏平均,0.7869500345890948
0.2,198,7,观察,0.659816010961049
0.2,198,7,内镜,0.6844284188034189
0.2,198,7,手术,0.9458689458689458
0.2,198,7,宏平均,0.7633711252111378
0.2,198,8,观察,0.6989626149931493
0.2,198,8,内镜,0.7079326923076923
0.2,198,8,手术,0.9078263784146137
0.2,198,8,宏平均,0.7715738952384852
0.2,198,9,观察,0.718209695308932
0.2,198,9,内镜,0.7133413461538461
0.2,198,9,手术,0.9093346740405563
0.2,198,9,宏平均,0.7802952385011115
0.32,317,0,观察,0.733607359561558
0.32,317,0,内镜,0.7296340811965812
0.32,317,0,手术,0.922741746271158
0.32,317,0,宏平均,0.7953277290097658
0.32,317,1,观察,0.6936778234488158
0.32,317,1,内镜,0.6762820512820511
0.32,317,1,手术,0.9185520361990951
0.32,317,1,宏平均,0.7628373036433208
0.32,317,2,观察,0.6928296470281203
0.32,317,2,内镜,0.6824919871794872
0.32,317,2,手术,0.9279369867605162
0.32,317,2,宏平均,0.7677528736560412
0.32,317,3,观察,0.7264304821556731
0.32,317,3,内镜,0.7235576923076924
0.32,317,3,手术,0.9259259259259258
0.32,317,3,宏平均,0.7919713667964304
0.32,317,4,观察,0.7160566320871664
0.32,317,4,内镜,0.6991185897435898
0.32,317,4,手术,0.9126864420982068
0.32,317,4,宏平均,0.7759538879763209
0.32,317,5,观察,0.7239511972336401
0.32,317,5,内镜,0.7131410256410257
0.32,317,5,手术,0.9369867605161724
0.32,317,5,宏平均,0.7913596611302793
0.32,317,6,观察,0.711946238663796
0.32,317,6,内镜,0.7160790598290598
0.32,317,6,手术,0.9237472766884531
0.32,317,6,宏平均,0.783924191727103
0.32,317,7,观察,0.7234944868532655
0.32,317,7,内镜,0.7164797008547009
0.32,317,7,手术,0.9239148650913356
0.32,317,7,宏平均,0.7879630175997674
0.32,317,8,观察,0.741828146408299
0.32,317,8,内镜,0.7365117521367521
0.32,317,8,手术,0.9235796882855706
0.32,317,8,宏平均,0.8006398622768739
0.32,317,9,观察,0.7262999934755661
0.32,317,9,内镜,0.7112045940170941
0.32,317,9,手术,0.9274342215518686
0.32,317,9,宏平均,0.7883129363481762
0.45,446,0,观察,0.7331506491811836
0.45,446,0,内镜,0.7277644230769231
0.45,446,0,手术,0.9208982738394503
0.45,446,0,宏平均,0.793937782032519
0.45,446,1,观察,0.7047693612579109
0.45,446,1,内镜,0.708800747863248
0.45,446,1,手术,0.9376571141277024
0.45,446,1,宏平均,0.7837424077496203
0.45,446,2,观察,0.7114895282834215
0.45,446,2,内镜,0.6993856837606838
0.45,446,2,手术,0.9286073403720462
0.45,446,2,宏平均,0.7798275174720505
0.45,446,3,观察,0.7011809225549683
0.45,446,3,内镜,0.6993189102564101
0.45,446,3,手术,0.9244176302999831
0.45,446,3,宏平均,0.7749724877037872
0.45,446,4,观察,0.7048346055979644
0.45,446,4,内镜,0.7136084401709402
0.45,446,4,手术,0.9198927434221551
0.45,446,4,宏平均,0.7794452630636867
0.45,446,5,观察,0.70698766881973
0.45,446,5,内镜,0.7417200854700854
0.45,446,5,手术,0.9270990447461036
0.45,446,5,宏平均,0.7919355996786397
0.45,446,6,观察,0.7105108631826189
0.45,446,6,内镜,0.7003872863247863
0.45,446,6,手术,0.9326294620412267
0.45,446,6,宏平均,0.7811758705162105
0.45,446,7,观察,0.7081620669406928
0.45,446,7,内镜,0.724826388888889
0.45,446,7,手术,0.9423495894084128
0.45,446,7,宏平均,0.791779348412665
0.45,446,8,观察,0.72656097083578
0.45,446,8,内镜,0.7096020299145299
0.45,446,8,手术,0.9267638679403386
