类别,变量,系数,OR,插补间SD
内镜,fb_battery,0.010036603585458288,1.0100871392184283,0.004724974230734934
内镜,fb_magnet,0.0,1.0,0.0
内镜,fb_sharp,0.0008509822819387624,1.0008513444700922,0.0015105897472965193
内镜,fb_coin,0.5177747042845111,1.678288802340061,0.0053547083714366
内镜,fb_round,0.0,1.0,0.0
内镜,fb_pit,-0.0706099116844329,0.9318253154070861,0.005100734040569363
内镜,fb_long,0.28515827973941565,1.3299725191665641,0.004071843309830113
内镜,fb_plastic,0.04797738624323333,1.0491469299027258,0.00461736377729934
内镜,fb_mercury,0.0,1.0,0.0
内镜,fb_multiple,-0.10063376024008286,0.9042641497331856,0.005756412223811047
内镜,sym_abdpain,0.0,1.0,0.0
内镜,sym_vomit,0.0,1.0,0.0
内镜,sym_hematemesis,-0.08153029634516779,0.9217047851445676,0.003898027710475005
内镜,sym_fever,-0.10220182044751314,0.9028473202302753,0.005593910128248463
内镜,sym_dysphagia,0.08256476919644523,1.0860690149784338,0.007454400132959921
内镜,sym_distension,0.0,1.0,0.0
内镜,sign_tenderness,-0.1271867258133688,0.8805692322388876,0.007442579994206318
内镜,sign_peritoneal,0.0,1.0,0.0
内镜,xray_radiopaque,0.0,1.0,0.0
内镜,loc_esophagus,0.007743663753131877,1.007773723457946,0.012942839450675472
内镜,loc_stomach,0.15017332979813275,1.1620356406766676,0.02151181201828199
内镜,loc_duodenum,0.0,1.0,0.0
内镜,loc_smallbowel,-0.10189444619462032,0.9031248749052024,0.04946610229117588
内镜,loc_colorectal,0.00047590013980759114,1.0004760133982449,0.0014729912117090467
内镜,lab_wbc,-0.006849150779825973,0.993174251195011,0.011172869749236126
内镜,lab_neut_pct,0.0,1.0,0.0
内镜,lab_alb,0.041181186439354575,1.0420408921210846,0.02706411160893138
手术,age_years,-0.014804266811455141,0.9853047775758548,0.024455800222293985
手术,male,0.0,1.0,0.0
手术,weight_kg,-0.13650288198042015,0.8724038060053116,0.022250101255845242
手术,temp_c,0.1062228310234761,1.1120696525182618,0.01623334973263098
手术,log_ingest_hours,0.6088880720781066,1.8383861090391196,0.019902766003722698
手术,fb_battery,0.0,1.0,0.0
手术,fb_magnet,0.6298006189309426,1.8772362565774448,0.011492067903105538
手术,fb_sharp,-0.13226438133956445,0.8761093374974992,0.012136290520642624
手术,fb_coin,-0.16964582756786123,0.8439636723364957,0.009425109336465624
手术,fb_round,0.0,1.0,0.0
手术,fb_pit,0.0,1.0,0.0
手术,fb_long,-0.00018773730216655946,0.999812280319378,0.0008395867391136911
手术,fb_plastic,0.0,1.0,0.0
手术,fb_mercury,0.0,1.0,0.0
手术,fb_multiple,0.0,1.0,0.0
手术,sym_abdpain,0.0588329160594118,1.0605980170388871,0.00988968023348543
手术,sym_vomit,0.18659201539013143,1.2051355079979424,0.011184249344164584
手术,sym_hematemesis,0.0,1.0,0.0
手术,sym_fever,0.0,1.0,0.0
手术,sym_dysphagia,0.0,1.0,0.0
手术,sym_distension,0.21585101682945415,1.2409174894063373,0.017678046303576608
手术,sign_tenderness,0.30076570972769945,1.350892803415801,0.009648525359938553
手术,sign_peritoneal,0.0,1.0,0.0
手术,xray_radiopaque,0.0,1.0,0.0
手术,loc_esophagus,0.0,1.0,0.0
手术,loc_stomach,0.0,1.0,0.0
手术,loc_duodenum,0.0,1.0,0.0
手术,loc_smallbowel,0.06465964439067969,1.066795872628081,0.02121882966087913
手术,loc_colorectal,0.0,1.0,0.0
手术,lab_wbc,0.033524107018009494,1.0340923723092432,0.029969557099677066
手术,lab_neut_pct,0.38613585611186435,1.471284540234777,0.04072894169734435
手术,lab_alb,-0.06590607347849665,0.9362187959368659,0.029172100754763803
